,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"light_curves[22, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[23, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[23, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[23, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[24, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[24, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[24, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[25, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[25, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[25, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[26, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[26, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[26, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[27, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[27, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[27, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[28, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[28, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[28, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[29, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[29, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[29, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[30, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[30, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[30, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[31, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[31, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[31, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[32, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[32, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[32, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[33, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[33, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[33, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[34, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[34, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[34, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[35, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[35, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[35, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[36, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[36, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[36, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[37, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[37, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[37, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[38, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[38, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[38, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[39, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[39, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[39, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[40, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[40, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[40, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[41, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[41, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[41, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[42, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[42, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[42, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[43, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[43, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[43, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[44, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[44, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[44, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[45, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[45, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[45, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[46, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[46, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[46, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[47, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[47, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[47, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[48, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[48, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[48, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[49, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[49, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[49, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[50, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[50, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[50, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[51, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[51, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[51, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[52, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[52, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[52, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[53, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[53, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[53, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[54, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[54, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[54, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[55, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[55, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[55, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[56, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[56, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[56, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
