Planet,a/R,e_a/R,E_a/R,m,e_m,E_m,r,e_r,E_r,e,e_e,E_e,lambda,e_lambda,E_lambda,i,e_i,E_i,psi,e_psi,E_psi,Refs,SimbadName,_RA,_DE
Kepler-408b     ,6.23,0,0,0,0,0.01,0.08,0,0,0,      ,      ,,    ,    ,42,4.5,5,,    ,    ,"116,117",Kepler-408b    ,284.78619,48.42322
Kepler-410b     ,19.5,0.76,0.76,0,     ,     ,0.25,0,0,0.17,0.06,0.07,,    ,    ,82.5,2.5,7.5,,    ,    ,118,Kepler-410b    ,283.15067,45.13982
Kepler-420b     ,72.7,9.08,9.08,1.45,0.35,0.35,0.94,0.12,0.12,0.772,0.045,0.045,74,46,32,     ,    ,    ,,    ,    ,119,Kepler-420b    ,291.22516,44.92737
Kepler-432b     ,15.94,0.66,0.97,5.41,0.18,0.32,1.15,0.04,0.04,0.477,0.007,0.007,,    ,    ,90,8,0,,    ,    ,"9,120",Kepler-432b    ,293.2822,48.28587
Kepler-448b     ,19.92,1.88,1.88,5,5,5,1.44,0.13,0.13,0.34,0.07,0.08,7.1,4.2,2.8,90,16.8,0,10,4.5,10.4,"121,49,2,122      ",Kepler-448b    ,297.45372,41.01101
MASCARA-1b      ,4.4,0.66,0.66,3.7,0.9,0.9,1.5,0.3,0.3,0,      ,      ,69.5,3,3,55.5,2.9,2.3,72.1,2.4,2.5,"123,124",MASCARA-1b     ,317.55155,10.73887
MASCARA-2b      ,7.47,0.42,0.34,0,0,3.5,1.74,0.07,0.07,0,      ,      ,3.4,2.1,2.1,     ,    ,    ,,    ,    ,"125,126,96        ",MASCARA-2b     ,294.6614,31.21923
MASCARA-3b      ,9.95,0.2,0.19,5.18,0.21,0.22,1.27,0.02,0.02,0.077,0.026,0.024,2.6,3.6,5.1,     ,    ,    ,,    ,    ,"127,128",MASCARA-3b     ,161.9098,71.65588
MASCARA-4b      ,5.26,0.54,0.54,3.1,0.9,0.9,1.53,0.04,0.07,0,      ,      ,112.5,1.5,1.7,47.4,13.6,22.9,104,13,7,"129,130",MASCARA-4b     ,147.58,-66.11386
NGTS-2b         ,7.75,0.45,0.45,0.67,0.09,0.09,1.54,0.06,0.06,0,      ,      ,11.3,4.8,4.8,     ,    ,    ,,    ,    ,131,NGTS-2b        ,215.12287,-31.20207
Qatar-1b        ,6.25,0.16,0.16,1.29,0.05,0.05,1.14,0.03,0.03,0,0,0.012,8.4,7.1,7.1,90,26.1,0,16.9,9,15.6,"9,132,2           ",Qatar-1b       ,303.38174,65.16208
Qatar-2b        ,6.53,0.1,0.1,2.47,0.06,0.06,1.11,0.01,0.01,0,0,0.011,0,8,8,90,19.5,0,11.4,7.1,12.3,"9,133,2,130,46    ",Qatar 2b       ,207.65588,-6.80401
TOI-1268b       ,17.04,0.39,0.26,0.29,0.04,0.04,0.75,0.02,0.02,0.13,0.13,0.27,24.9,13.1,13,     ,    ,    ,30.4,11.1,11.1,"134,135",TOI-1268b      ,198.3892,62.30545
TOI-1333b       ,6.98,0.23,0.24,2.37,0.24,0.24,1.4,0.05,0.06,0.073,0.052,0.092,,    ,    ,51.3,3.3,3.5,,    ,    ,136,TOI-1333b      ,325.0146,48.40681
TOI-1518b       ,4.29,0.06,0.06,0,0,2.3,1.2,0.05,1.88,0,0.01,0.01,119.7,0.9,1,     ,    ,    ,,    ,    ,137,TOI-1518b      ,352.2676,67.03483
TOI-2109b       ,2.27,0.02,0.02,5.02,0.75,0.75,1.35,0.05,0.05,0,0,0.035,1.7,1.7,1.7,     ,    ,    ,,    ,    ,138,TOI-2109b      ,253.18633,16.57996
TOI-251b        ,14.02,0.61,0.82,0,0,1,0.24,0.02,0.02,0,0,0,,    ,    ,78,14,7,,    ,    ,139,TOI-251b       ,353.06182,-37.25587
